"tolylquinone"	"CC1=CC(=O)C=CC1=O"
"4-AMINO-3-PENTADECYLPHENOL"	"CCCCCCCCCCCCCCCc1cc(O)ccc1N"
"Cactinomycin"	"C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2"
"CHLORO-9-[[3-(DIETHYLAMINO)PROPYL]AMINO]-2-METHOXYACRIDI..."	"CCN(CC)CCCNc1c2ccc(Cl)cc2nc3ccc(OC)cc13"
"7-CHLORO-9-[[3-(DIPENTYLAMINO)PROPYL]AMINO]-1,2,3,4-TETR..."	"CCCCCN(CCCCC)CCCNc1c2CCCCc2nc3ccc(Cl)cc13"
"ACETOXYPHENANTHRYLMERCURY"	"[R][Hg]OC(=O)C.c1ccc2c(c1)ccc3ccccc23"
"3-BROMO-2,4,6-TRINITROTOLUENE"	"Cc1c(cc(c(Br)c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]"
"Bioxiran"	"C1OC1C2CO2"
"AMINOPTERIN"	"Nc1nc(N)c2nc(CNc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2n1"
"METHOTREXATE"	"CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O"
"azaserin"	"NC(COC(=O)C=[N+]=[N-])C(=O)O"
"8-Azaguanine"	"NC1=NC(=O)c2[nH]nnc2N1"
"6-THIOGUANINE"	"NC1=NC(=S)c2[nH]cnc2N1"
"6-MERCAPTOPURINE"	"S=C1N=CNc2nc[nH]c12"
"Colchicine"	"COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C"
"3-PHENYL-1-(2-PYRIDYL)-2-PROPEN-1-ONE"	"O=C(\C=C\c1ccccc1)c2ccccn2"
"3,3'-DIAMINO-4,4'-BIS(DIMETHYLAMINO)BENZOPHENONE"	"CN(C)c1ccc(cc1N)C(=O)c2ccc(N(C)C)c(N)c2"
"7-[.ALPHA.-(P-NITROANILINO)BENZYL]-8-QUINOLINOL"	"Oc1c(ccc2cccnc12)C(Nc3ccc(cc3)[N+](=O)[O-])c4ccccc4"
"7-(.ALPHA.-ANILINO-P-NITROBENZYL)-8-QUINOLINOL"	"Oc1c(ccc2cccnc12)C(Nc3ccccc3)c4ccc(cc4)[N+](=O)[O-]"
"7-[.ALPHA.-[(4-METHYL-2-PYRIDYL)AMINO]BENZYL]-8-QUINOLINOL"	"Cc1ccnc(NC(c2ccccc2)c3ccc4cccnc4c3O)c1"
"acpc"	"NC1(CCCC1)C(=O)O"
"1,1,3-TRIBROMO-3-METHYL-2-BUTANONE"	"CC(C)(Br)C(=O)C(Br)Br"
"6-CHLORO-2-METHOXY-9-[(5-PIPERIDINOPENTYL)AMINO]ACRIDINE"	"COc1ccc2nc3cc(Cl)ccc3c(NCCCCCN4CCCCC4)c2c1"
"2-(ISOBORNYLOXY)-1,1-DIMETHYLETHYLAMINE"	"CC(C)(N)CO[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C"
"N-DECYL-2-IODOACETAMIDE"	"CCCCCCCCCCNC(=O)CI"
"Allopurinol"	"O=C1NC=Nc2[nH]ncc12"
"Pyrazoloadenine"	"Nc1ncnc2[nH]ncc12"
"4-(BUTYLAMINO)-1-PHENYL-1H-PYRAZOLO[3,4-D]PYRIMIDINE"	"CCCCNc1ncnc2c1cnn2c3ccccc3"
"tryptazan"	"NC(Cc1n[nH]c2ccccc12)C(=O)O"
"2-(2-METHYL-2-NITROPROPOXY)BORNANE"	"CC(C)(CO[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C)[N+](=O)[O-]"
"2-CHLORO-3-PHENOXY-1,4-NAPHTHOQUINONE"	"ClC1=C(Oc2ccccc2)C(=O)c3ccccc3C1=O"
"Thiram"	"CN(C)C(=S)SSC(=S)N(C)C"
"o-Aminoazotoluene"	"Cc1ccccc1N=Nc2ccc(N)c(C)c2"
"GUANAZOLE"	"Nc1n[nH]c(N)n1"
"Alkarsodyl"	"C[As](=O)(C)O"
"declid"	"OC(=O)CCCCCCCCC=C"
"oxin"	"Oc1cccc2cccnc12"
"TRIS(4-BIPHENYLYL)METHANOL"	"OC(c1ccc(cc1)c2ccccc2)(c3ccc(cc3)c4ccccc4)c5ccc(cc5)c6ccccc6"
"3-(2-furyl)acrolein"	"O=C\C=C\c1occc1"
"thymophthalein"	"CC(C)c1cc(c(C)cc1O)C2(OC(=O)c3ccccc23)c4cc(C(C)C)c(O)cc4C"
"2,6-dibenzylidenecyclohexanone"	"O=C1\C(=C\c2ccccc2)\CCC/C/1=C\c3ccccc3"
"D.b.t.c."	"CCCC[Sn](Cl)(Cl)CCCC"
"avlon"	"C[n+]1c2cc(N)ccc2cc3ccc(N)cc13"
"QAICTYKDANKDKI-UHFFFAOYSA-N"	"COc1cc(c2ncccc2c1O)[N+](=O)[O-]"
"2,2',5,5'-Tetrahydroxy-4,4'-dimethylbiphenyl"	"Cc1cc(O)c(cc1O)c2cc(O)c(C)cc2O"
"vetol"	"CC1=C(O)C(=O)C=CO1"
"puromycin"	"COc1ccc(C[C@H](N)C(=O)NC2C(CO)OC(C2O)n3cnc4c(ncnc34)N(C)C)cc1"
"malacid"	"CCc1nc(N)nc(N)c1c2ccc(Cl)cc2"
"Etoprine"	"CCc1nc(N)nc(N)c1c2ccc(Cl)c(Cl)c2"
"facid"	"NC1=NC(=O)c2nc(CNc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2N1"
"Chlorazin"	"CC1(C)N=C(N)N=C(N)N1c2ccc(Cl)cc2"
""	"CCCCCCC1N=C(N)N=C(N)N1c2ccc(Cl)cc2"
"1-(3-Chlorophenyl)-2-hexyl-2H-1,3,5-triazine-4,6-diamine;hydrochloride"	"CCCCCCC1N=C(N)N=C(N)N1c2cccc(Cl)c2"
"Chlorambucil"	"OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl"
"badil"	"CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C"
"PDMT"	"CN(C)N=Nc1ccccc1"
"2,5-Bis(ethylamino)hydroquinone"	"Oc1cc(N2CC2)c(O)cc1N3CC3"
""	"Clc1ccc(\C=C\c2ccc3ccccc3n2)cc1"
"clioquinol"	"Oc1c(I)cc(Cl)c2cccnc12"
"4-N-(7-Chloroquinolin-4-yl)-1-N-cyclohexylcyclohexane-1,4-diamine"	"Clc1ccc2c(NC3CCC(CC3)NC4CCCCC4)ccnc2c1"
""	"CCN(CC)c1ccc(NC(C(=O)c2ccccc2)c3ccccc3)cc1"
"AI3-08904"	"[O-][N+](=O)c1cccc(\C=C\C(=O)\C=C\c2cccc(c2)[N+](=O)[O-])c1"
"2,4-dinitrobromobenzene"	"[O-][N+](=O)c1ccc(Br)c(c1)[N+](=O)[O-]"
"Chloro-(5-chlorothiophen-2-yl)mercury"	"Cl[Hg]c1ccc(Cl)s1"
"1-(5-Bromo-4-nitrothiophen-2-yl)propan-1-one"	"CCC(=O)c1cc(c(Br)s1)[N+](=O)[O-]"
""	"c1cc[n+](cc1)C2c3ccccc3C(c4ccccc24)[n+]5ccccc5"
"tripyridyl"	"c1ccc(nc1)c2cccc(n2)c3ccccn3"
