"","PUBCHEM_ID"
"1",NA
"17",219123
"89",NA
"185",NA
"295",4775
"353",24180741
"384",54599265
"534",16685698
"596",219376
"629",11254
"721",690109
"739",NA
"740",126941
"742",460129
"749",NA
"752",NA
"755",NA
"757",NA
"762",NA
"798",NA
"830",736782
"885",NA
"1010",219563
"1011",219564
"1012",95307
"1013",219565
"1014",219566
"1026",2901
"1027",219573
"1063",219600
"1199",219648
"1338",219690
"1390",NA
"1393",75420
"1433",219760
"1460",95318
"1482",NA
"1507",219799
"1760",219939
"1771",NA
"1797",NA
"1895",15078
"1906",NA
"1910",NA
"1945",5351603
"2012",24180869
"2013",NA
"2039",NA
"2053",219999
"2061",NA
"2186",31316
"2384",NA
"2604",12688
"2626",4947
"2724",NA
"2755",NA
"2785",135399288
"2805",220284
"2829",NA
"3039",NA
"3053",NA
"3055",NA
"3060",NA
"3061",NA
"3062",29142
"3073",NA
"3074",NA
"3077",NA
"3080",NA
"3081",NA
"3082",NA
"3083",24180956
"3088",NA
"3090",NA
"3091",NA
"3093",NA
"3094",23654
"3262",94797
"3265",NA
"3284",NA
"3298",NA
"3424",NA
"3531",NA
"3618",220625
"3628",NA
"3799",6436750
"3808",11441
"3840",407288
"3847",220712
"3852",19103
"3877",NA
"3905",NA
"3907",142766
"3927",6870
"3941",NA
"3970",NA
"4045",NA
"4060",64945
"4112",NA
"4114",72675
"4170",NA
"4184",5282363
"4232",220828
"4236",668053
"4238",NA
"4239",NA
"4265",NA
"4272",72791
"4280",65237
"4281",72792
"4285",14161
"4290",24181037
"4291",NA
"4320",NA
"4375",NA
"4378",24181064
"4432",6433371
"4434",NA
"4483",NA
"4512",220946
"4518",220951
"4582",54603154
"4623",221007
"4644",NA
"4681",24181093
"4698",NA
"4722",221037
"4728",19909
"4810",NA
"4844",24181101
"4857",NA
"4896",NA
"4911",NA
"4962",NA
"4972",16043
"5006",NA
"5011",NA
"5019",NA
"5031",16129878
"5048",79174
"5053",9283
"5062",NA
"5066",69095
"5113",4871
"5159",NA
"5192",16317
"5200",135403411
"5206",24181145
"5278",17584
"5283",13820
"5332",6825
"5337",79411
"5347",NA
"5355",NA
"5364",NA
"5366",NA
"5417",NA
"5418",67115
"5425",NA
"5485",221231
"5491",NA
"5550",407450
"5551",6433478
"5620",221258
"5639",407452
"5648",NA
"5703",221307
"5705",221309
"5816",701011
"5889",NA
"5890",NA
"5896",135436503
"5907",16682406
"5908",221375
"5920",407487
"6145",70875
"6152",NA
"6171",NA
"6176",NA
"6266",8433
"6278",94880
"6386",NA
"6396",NA
"6477",899314
"6777",221765
"6814",NA
"6883",221812
"6891",221819
"6926",NA
"7215",NA
"7223",NA
"7233",222032
"7354",94902
"7359",NA
"7364",NA
"7365",NA
"7376",NA
"7389",NA
"7390",NA
"7420",222105
"7436",222114
"7519",457798
"7521",NA
"7525",222156
"7529",NA
"7530",NA
"7532",NA
"7533",NA
"7534",222160
"7535",NA
"7606",NA
"7757",NA
"7801",407617
"7811",73516
"7813",24181324
"7821",102162
"7833",NA
"7853",75281
"8101",NA
"8117",NA
"8120",NA
"8174",3034162
"8179",NA
"8360",222439
"8552",13694
"8643",135436514
"8672",24181402
"8673",54605107
"8675",16955
"8704",NA
"8786",16682740
"8806",NA
"8974",54609012
"8982",24181416
"8985",NA
"8994",54602012
"8995",NA
"9037",72722
"9168",NA
"9170",17649
"9291",101929
"9358",81528
"9403",NA
"9404",NA
"9594",NA
"9598",68275
"9605",NA
"9608",222760
"9609",NA
"9610",135436529
"9612",20520
"9665",222778
"9667",24181516
"9704",NA
"9706",5799
"9768",222840
"9771",222841
"9853",NA
"9855",NA
"9856",445639
"9858",NA
"9921",4735
"9936",NA
"9951",16388
"10010",NA
"10018",NA
"10036",222938
"10037",222939
"10438",NA
"10460",NA
"10466",NA
"10483",5754
"10492",NA
"10517",NA
"10520",54598850
"10526",NA
"10534",54609031
"10535",NA
"10587",24181636
"10594",24181641
"10641",24181655
"10660",24181664
"10667",24181669
"10721",223253
"10848",223320
"11051",NA
"11216",NA
"11225",NA
"11232",NA
"11235",16953
"11240",16599
"11241",11980862
"11420",223647
"11452",223660
"11461",6967
"11511",223673
"11590",20684
"11624",223719
"11663",223750
"11667",223752
"11668",223753
"11713",80753
"11773",20441
"11841",223821
"11881",94975
"11897",10221
"11905",NA
"11926",NA
"11963",24181851
"11969",223883
"11981",223889
"11991",223899
"12097",69462
"12113",NA
"12129",223984
"12150",NA
"12161",NA
"12174",NA
"12181",408250
"12198",224004
"12455",NA
"12516",24181914
"12517",24181915
"12650",224279
"12825",224423
"12865",11068
"12969",NA
"13002",25926
"13003",NA
"13006",24181963
"13051",224524
"13052",NA
"13055",459702
"13119",NA
"13128",NA
"13151",5354553
"13162",54603804
"13204",95001
"13239",224604
"13248",NA
"13275",24182013
"13300",NA
"13307",45049470
"13314",NA
"13316",224644
"13317",54609285
"13318",54602013
"13378",NA
"13380",224687
"13397",31307
"13477",24182056
"13479",224741
"13480",NA
"13483",224743
"13484",498042
"13502",3197
"13597",NA
"13598",54603830
"13616",224810
"13625",54605076
"13628",224815
"13699",224859
"13713",NA
"13724",224873
"13801",224935
"13831",224958
"13835",24182122
"13973",NA
"13977",NA
"13981",67011
"13984",224978
"13986",76123
"14006",NA
"14009",49791635
"14022",5929688
"14034",225001
"14040",225006
"14050",NA
"14071",NA
"14073",54609322
"14079",54602016
"14186",137805
"14229",NA
"14380",225223
"14548",225328
"14657",24182209
"14659",24182211
"14666",NA
"14711",NA
"14741",54605112
"14864",NA
"14973",225483
"14974",225484
"14975",NA
"14977",54609366
"15013",NA
"15078",6271803
"15193",NA
"15200",NA
"15309",NA
"15372",NA
"15609",24182331
"15623",NA
"15628",5280954
"15785",NA
"15791",21144135
"15795",24182355
"15812",408791
"15813",5897951
"15830",NA
"15886",225968
"15975",18981
"16034",226033
"16116",5351669
"16165",135421845
"16166",13797451
"16219",226107
"16222",135421850
"16239",408835
"16258",226118
"16520",5912102
"16685",NA
"16729",5354670
"16865",NA
"16876",NA
"17061",226514
"17065",226518
"17245",226609
"17257",226619
"17273",NA
"17275",24182498
"17473",NA
"17551",226783
"17647",NA
"17652",NA
"17744",226857
"17759",5354710
"17762",226869
"18286",227098
"18298",NA
"18300",NA
"18335",NA
"18451",227150
"18460",227158
"18613",5351688
"18719",NA
"18727",NA
"18758",227281
"18804",3611
"18805",NA
"18877",227331
"18880",227334
"18883",227337
"18891",227345
"18894",NA
"19048",NA
"19139",227530
"19147",NA
"19441",95122
"19502",NA
"19509",NA
"19630",227681
"19637",NA
"19639",18156
"19645",5955
"19646",NA
"19727",227746
"19728",9555790
"19760",227754
"19781",90481
"19802",5281691
"19893",NA
"19912",92765
"19942",227830
"19976",227840
"19987",6741
"19990",NA
"20000",NA
"20200",NA
"20207",NA
"20256",NA
"20514",227994
"20527",NA
"20534",NA
"20535",NA
"20644",33144
"20909",NA
"21061",24693
"21075",NA
"21206",9500
"21276",NA
"21356",228424
"21434",228480
"21518",228534
"21531",NA
"21545",18064
"21548",NA
"21588",228569
"21622",5922444
"21662",228612
"21666",228615
"21669",NA
"21681",228622
"21683",228624
"21702",NA
"21715",228635
"21728",5351497
"21914",2336
"21970",1674
"22070",NA
"22201",110719
"22225",5351702
"22227",NA
"22348",229013
"22600",NA
"22709",135410720
"22842",5281707
"22945",80565
"22984",NA
"22994",24183021
"23159",229453
"23162",NA
"23173",229459
"23297",229543
"23345",9552058
"23416",5716814
"23418",54603596
"23477",5355002
"23615",NA
"23676",NA
"23759",NA
"23766",NA
"23833",229831
"23856",697963
"23863",NA
"23904",NA
"23925",NA
"23936",6369925
"23994",5355031
"24030",229938
"24037",5351711
"24047",NA
"24076",NA
"24113",229969
"24189",1549990
"24500",NA
"24559",NA
"24692",230132
"24799",NA
"24817",NA
"24818",NA
"24819",NA
"24871",230232
"24913",81664
"25028",72908
"25154",NA
"25434",NA
"25454",230510
"25463",NA
"25485",NA
"25703",230621
"25818",66796
"25830",230690
"25846",230706
"25861",5351722
"26037",5929908
"26040",5351150
"26045",80771
"26074",230791
"26081",NA
"26113",5860626
"26258",NA
"26271",NA
"26273",95263
"26427",230978
"26540",231054
"26647",NA
"26692",231112
"26697",231115
"26821",NA
"26933",231205
"26980",5746
"27034",410191
"27102",NA
"27103",NA
"27445",NA
"27515",138417
"27604",135431336
"27607",135431337
"27640",NA
"28002",5351151
"28081",231626
"28365",231714
"28408",5351731
"28430",NA
"28527",231799
"28566",NA
"28567",NA
"28568",NA
"28569",NA
"28608",3652630
"29013",232011
"29018",232016
"29117",5355215
"29182",232136
"29228",16590
"29422",NA
"29424",517841
"29443",16683643
"29459",24183684
"29603",NA
"29604",24183689
"29606",54601764
"29630",NA
"29638",232328
"29865",135431368
"30033",23681
"30083",NA
"30198",NA
"30417",NA
"30637",24183838
"30652",79775
"30656",71045
"30659",NA
"30706",95715
"30712",232780
"30722",232789
"30799",232835
"30813",232850
"30863",22658
"30915",16683646
"30916",16683647
"30930",NA
"30979",95723
"31059",1416279
"31660",16682749
"31692",NA
"31703",5774635
"31709",54605545
"31711",NA
"31717",95735
"31760",NA
"31768",54599828
"31777",54605565
"31778",NA
"31779",NA
"31780",6540442
"31782",54602338
"31812",NA
"31815",NA
"31869",68486
"31882",5352001
"32065",NA
"32149",NA
"32190",NA
"32212",NA
"32516",233642
"32569",233683
"32743",NA
"32924",24184082
"32927",NA
"32930",24184086
