Sanger name	Sanger COSMIC ID	CCLE Label	CCLE name
DMS-53	907295	DMS53_LUNG	DMS 53
SW1116	909746	SW1116_LARGE_INTESTINE	SW1116
UM-UC-3	724838	UMUC3_URINARY_TRACT	UM-UC-3
HOS	907060	HOS_BONE	HOS
RVH-421	909706	RVH421_SKIN	RVH-421
HCC2157	749715	HCC2157_BREAST	HCC2157
NCI-H2227	688018	NCIH2227_LUNG	NCI-H2227
COLO-205	905961	COLO205_LARGE_INTESTINE	COLO 205
SNU-449	909738	SNU449_LIVER	SNU-449
NCI-H28	908470	NCIH28_PLEURA	NCI-H28
KYSE-450	907320	KYSE450_OESOPHAGUS	KYSE-450
P31-FUJ	909253	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31/FUJ
SF126	909712	SF126_CENTRAL_NERVOUS_SYSTEM	SF126
SNG-M	909735	SNGM_ENDOMETRIUM	SNG-M
NCI-H2347	687820	NCIH2347_LUNG	NCI-H2347
SW1990	910907	SW1990_PANCREAS	SW 1990
HT-1080	907064	HT1080_SOFT_TISSUE	HT-1080
NCI-H2087	724834	NCIH2087_LUNG	NCI-H2087
NCI-H510A	753605	NCIH510_LUNG	NCI-H510
CAKI-1	905963	CAKI1_KIDNEY	Caki-1
NCI-H716	908458	NCIH716_LARGE_INTESTINE	NCI-H716
NCI-H2029	688011	NCIH2029_LUNG	NCI-H2029
C3A	910850	C3A_LIVER	C3A
LU-65	724863	LU65_LUNG	LU65
MSTO-211H	908152	MSTO211H_PLEURA	MSTO-211H
Raji	909262	RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Raji
SUP-T1	909743	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUP-T1
5637	687452	5637_URINARY_TRACT	5637
HCC38	749717	HCC38_BREAST	HCC38
DU-4475	906844	DU4475_BREAST	DU4475
NCI-H1573	908472	NCIH1573_LUNG	NCI-H1573
NCI-H1651	910900	NCIH1651_LUNG	NCI-H1651
SK-UT-1	909732	SKUT1_SOFT_TISSUE	SK-UT-1
MDA-MB-175-VII	908120	MDAMB175VII_BREAST	MDA-MB-175-VII
Becker	906746	BECKER_CENTRAL_NERVOUS_SYSTEM	Becker
NCI-H226	905941	NCIH226_LUNG	NCI-H226
NCI-H1666	908473	NCIH1666_LUNG	NCI-H1666
SW1783	909750	SW1783_CENTRAL_NERVOUS_SYSTEM	SW 1783
IST-MES1	907173	ISTMES1_PLEURA	IST-MES1
NCI-H2342	687819	NCIH2342_LUNG	NCI-H2342
TI-73	910696	T173_BONE	T1-73
NCI-H2291	724874	NCIH2291_LUNG	NCI-H2291
T47D	905945	T47D_BREAST	T-47D
TE-10	753622	TE10_OESOPHAGUS	TE-10
SK-MEL-28	905954	SKMEL28_SKIN	SK-MEL-28
BHY	753535	BHY_UPPER_AERODIGESTIVE_TRACT	BHY
CGTH-W-1	910568	CGTHW1_THYROID	CGTH-W-1
LS-123	907792	LS123_LARGE_INTESTINE	LS123
HEL	907053	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL
RCC10RGB	909974	RCC10RGB_KIDNEY	RCC10RGB
TE-6	946355	TE6_OESOPHAGUS	TE-6
BL-41	910706	BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-41
COR-L105	906805	CORL105_LUNG	COR-L105
COLO-668	910692	COLO668_LUNG	COLO 668
OS-RC-2	909250	OSRC2_KIDNEY	OS-RC-2
KP-N-RT-BM-1	924189	KPNRTBM1_AUTONOMIC_GANGLIA	KP-N-RT-BM-1
EC-GI-10	753555	ECGI10_OESOPHAGUS	EC-GI-10
CW-2	910554	CW2_LARGE_INTESTINE	CW-2
HEC-1	907051	HEC1B_ENDOMETRIUM	HEC-1-B
TGBC11TKB	909770	TGBC11TKB_STOMACH	TGBC11TKB
TE-8	753623	TE8_OESOPHAGUS	TE-8
NCI-H838	910399	NCIH838_LUNG	NCI-H838
TALL-1	909762	TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TALL-1
ECC12	906849	ECC12_STOMACH	ECC12
MDA-MB-231	905960	MDAMB231_BREAST	MDA-MB-231
RS4-11	909703	RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RS4;11
OVCAR-4	905990	OVCAR4_OVARY	OVCAR-4
HCT-15	905937	HCT15_LARGE_INTESTINE	HCT-15
SW1463	909748	SW1463_LARGE_INTESTINE	SW1463
SF295	905985	SF295_CENTRAL_NERVOUS_SYSTEM	SF-295
WM-115	909784	WM115_SKIN	WM-115
OE33	910549	OE33_OESOPHAGUS	OE33
SJSA-1	909717	SJSA1_BONE	SJSA-1
NCI-H2228	687816	NCIH2228_LUNG	NCI-H2228
SK-MES-1	909728	SKMES1_LUNG	SK-MES-1
NCI-H520	908443	NCIH520_LUNG	NCI-H520
COLO-800	906813	COLO800_SKIN	COLO-800
J82	753566	J82_URINARY_TRACT	J82
Calu-6	724859	CALU6_LUNG	Calu-6
SK-LU-1	909721	SKLU1_LUNG	SK-LU-1
SW900	724879	SW900_LUNG	SW 900
UACC-62	905976	UACC62_SKIN	UACC-62
MFE-280	908129	MFE280_ENDOMETRIUM	MFE-280
MFE-296	908130	MFE296_ENDOMETRIUM	MFE-296
GI-1	906871	GI1_CENTRAL_NERVOUS_SYSTEM	GI-1
PC-14	753608	PC14_LUNG	PC-14
KYSE-410	753574	KYSE410_OESOPHAGUS	KYSE-410
A204	910784	A204_SOFT_TISSUE	A-204
NCI-H810	925341	NCIH810_LUNG	NCI-H810
RERF-LC-MS	910931	RERFLCMS_LUNG	RERF-LC-MS
NCI-H460	905943	NCIH460_LUNG	NCI-H460
KYSE-140	753573	KYSE140_OESOPHAGUS	KYSE-140
KYSE-180	907318	KYSE180_OESOPHAGUS	KYSE-180
HuP-T3	907285	HUPT3_PANCREAS	HUP-T3
GCIY	906869	GCIY_STOMACH	GCIY
Caov-4	949090	CAOV4_OVARY	Caov-4
HCC2218	749716	HCC2218_BREAST	HCC2218
K052	907284	KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KO52
KNS-81-FD	924188	KNS81_CENTRAL_NERVOUS_SYSTEM	KNS-81
LU-99A	907796	LU99_LUNG	LU99
MKN1	908138	MKN1_STOMACH	MKN1
HSC-2	753562	HSC2_UPPER_AERODIGESTIVE_TRACT	HSC-2
HuH-7	907071	HUH7_LIVER	HuH-7
HuCCT1	907069	HUCCT1_BILIARY_TRACT	HuCCT1
KALS-1	907271	KALS1_CENTRAL_NERVOUS_SYSTEM	KALS-1
CAL-12T	753540	CAL12T_LUNG	CAL-12T
THP-1	909771	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP-1
A3-KAW	910935	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A3/KAW
HCC1954	749709	HCC1954_BREAST	HCC1954
CAMA-1	946382	CAMA1_BREAST	CAMA-1
AM-38	910933	AM38_CENTRAL_NERVOUS_SYSTEM	AM-38
HSC-3	907061	HSC3_UPPER_AERODIGESTIVE_TRACT	HSC-3
HSC-4	907062	HSC4_UPPER_AERODIGESTIVE_TRACT	HSC-4
KP-4	753572	KP4_PANCREAS	KP4
HGC-27	907055	HGC27_STOMACH	HGC-27
U-266	753615	U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	U266B1
CAS-1	910943	CAS1_CENTRAL_NERVOUS_SYSTEM	CAS-1
COR-L23	687780	CORL23_LUNG	COR-L23
SK-OV-3	905959	SKOV3_OVARY	SK-OV-3
HPAF-II	724869	HPAFII_PANCREAS	HPAF-II
CA46	910703	CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CA46
A498	905948	A498_KIDNEY	A-498
A673	684052	A673_BONE	A-673
CAPAN-1	753624	CAPAN1_PANCREAS	Capan-1
NCI-H1563	753600	NCIH1563_LUNG	NCI-H1563
NCI-H358	908465	NCIH358_LUNG	NCI-H358
CFPAC-1	906821	CFPAC1_PANCREAS	CFPAC-1
OVCAR-3	905933	NIHOVCAR3_OVARY	NIH:OVCAR-3
NCI-H1650	687800	NCIH1650_LUNG	NCI-H1650
NCI-H1793	908463	NCIH1793_LUNG	NCI-H1793
NCI-H1437	687794	NCIH1437_LUNG	NCI-H1437
KNS-62	753569	KNS62_LUNG	KNS-62
Hs-578-T	905957	HS578T_BREAST	Hs 578T
BT-20	906801	BT20_BREAST	BT-20
HH	907056	HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HH
FADU	906863	FADU_UPPER_AERODIGESTIVE_TRACT	FaDu
SJRH30	909716	SJRH30_SOFT_TISSUE	SJRH30
MDA-MB-361	908121	MDAMB361_BREAST	MDA-MB-361
DB	906832	DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DB
CAL-27	910916	CAL27_UPPER_AERODIGESTIVE_TRACT	CAL 27
MES-SA	908127	MESSA_SOFT_TISSUE	MES-SA
NCI-H1792	724868	NCIH1792_LUNG	NCI-H1792
GCT	906999	GCT_SOFT_TISSUE	GCT
NCI-SNU-16	908446	SNU16_STOMACH	SNU-16
NCI-H82	688031	NCIH82_LUNG	NCI-H82
NCI-N87	908461	NCIN87_STOMACH	NCI-N87
U-2-OS	909776	U2OS_BONE	U-2 OS
H4	907042	H4_CENTRAL_NERVOUS_SYSTEM	H4
GDM-1	906870	GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GDM-1
HCC1143	749710	HCC1143_BREAST	HCC1143
T-24	724812	T24_URINARY_TRACT	T24
G-401	907299	G401_SOFT_TISSUE	G-401
HCC1937	749714	HCC1937_BREAST	HCC1937
Saos-2	909707	SAOS2_BONE	Saos-2
D-283MED	906834	D283MED_CENTRAL_NERVOUS_SYSTEM	D283 Med
SCC-9	909709	SCC9_UPPER_AERODIGESTIVE_TRACT	SCC-9
HCC1395	749712	HCC1395_BREAST	HCC1395
NMC-G1	908449	NMCG1_CENTRAL_NERVOUS_SYSTEM	NMC-G1
TE-9	946353	TE9_OESOPHAGUS	TE-9
KNS-42	907282	KNS42_CENTRAL_NERVOUS_SYSTEM	KNS-42
KYSE-520	753575	KYSE520_OESOPHAGUS	KYSE-520
KYSE-270	907319	KYSE270_OESOPHAGUS	KYSE-270
YH-13	909905	YH13_CENTRAL_NERVOUS_SYSTEM	YH-13
IA-LM	910779	IALM_LUNG	IA-LM
NCI-H2052	688058	NCIH2052_PLEURA	NCI-H2052
EB2	906846	EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB2
SK-N-FI	688087	SKNFI_AUTONOMIC_GANGLIA	SK-N-FI
SK-N-AS	724828	SKNAS_AUTONOMIC_GANGLIA	SK-N-AS
SNU-423	909737	SNU423_LIVER	SNU-423
SCC-4	910904	SCC4_UPPER_AERODIGESTIVE_TRACT	SCC-4
HCC1187	749711	HCC1187_BREAST	HCC1187
SNU-387	909736	SNU387_LIVER	SNU-387
Daudi	906831	DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Daudi
HT	907063	HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HT
C2BBe1	910700	C2BBE1_LARGE_INTESTINE	C2BBe1
EPLC-272H	753556	EPLC272H_LUNG	EPLC-272H
BxPC-3	906693	BXPC3_PANCREAS	BxPC-3
NCI-H1355	724866	NCIH1355_LUNG	NCI-H1355
NCI-SNU-5	908445	SNU5_STOMACH	SNU-5
SNU-475	909739	SNU475_LIVER	SNU-475
RPMI-7951	910903	RPMI7951_SKIN	RPMI-7951
COLO-792	906814	COLO792_SKIN	COLO 792
