"","SMILES"
"1","CC1=CC(=O)C=CC1=O"
"17","CCCCCCCCCCCCCCCc1cc(O)ccc1N"
"89","CN(C)CCC(=O)c1ccccc1"
"185","C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2"
"295","OC(=O)CCCc1ccccc1"
"353","CCN(CC)CCCNc1c2ccc(Cl)cc2nc3ccc(OC)cc13"
"384","CCCCCN(CCCCC)CCCNc1c2CCCCc2nc3ccc(Cl)cc13"
"534","[R][Hg]OC(=O)C.c1ccc2c(c1)ccc3ccccc23"
"596","Cc1c(cc(c(Br)c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]"
"629","C1OC1C2CO2"
"721","NC(=S)N\N=C\1/C(=O)Nc2ccccc12"
"739","Nc1nc(N)c2nc(CNc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2n1"
"740","CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O"
"742","NC(COC(=O)C=[N+]=[N-])C(=O)O"
"749","NC1=NC(=O)c2[nH]nnc2N1"
"752","NC1=NC(=S)c2[nH]cnc2N1"
"755","S=C1N=CNc2nc[nH]c12"
"757","COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C"
"762","CN(CCCl)CCCl"
"798","O=C(\C=C\c1ccccc1)c2ccccn2"
"830","OC(=O)\C=C\c1ccncc1"
"885","CN(C)c1ccc(cc1N)C(=O)c2ccc(N(C)C)c(N)c2"
"1010","Oc1c(ccc2cccnc12)C(Nc3ccc(cc3)[N+](=O)[O-])c4ccccc4"
"1011","OC(=O)c1ccc(NC(c2ccccc2)c3ccc4cccnc4c3O)cc1"
"1012","OC(=O)c1ccccc1NC(c2ccccc2)c3ccc4cccnc4c3O"
"1013","Oc1c(ccc2cccnc12)C(Nc3ccccc3)c4ccc(cc4)[N+](=O)[O-]"
"1014","Cc1ccnc(NC(c2ccccc2)c3ccc4cccnc4c3O)c1"
"1026","NC1(CCCC1)C(=O)O"
"1027","CC(C)(Br)C(=O)C(Br)Br"
"1063","COc1ccc2nc3cc(Cl)ccc3c(NCCCCCN4CCCCC4)c2c1"
"1199","CC(C)(N)CO[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C"
"1338","CCCCCCCCCCNC(=O)CI"
"1390","O=C1NC=Nc2[nH]ncc12"
"1393","Nc1ncnc2[nH]ncc12"
"1433","CCCCNc1ncnc2c1cnn2c3ccccc3"
"1460","NC(Cc1n[nH]c2ccccc12)C(=O)O"
"1482","CC(C)(CO[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C)[N+](=O)[O-]"
"1507","ClC1=C(Oc2ccccc2)C(=O)c3ccccc3C1=O"
"1760","NNC(=O)CCc1ccc2ccc3ccccc3c2c1"
"1771","CN(C)C(=S)SSC(=S)N(C)C"
"1797","Cc1ccccc1N=Nc2ccc(N)c(C)c2"
"1895","Nc1n[nH]c(N)n1"
"1906","SC(=S)N1CCCCC1"
"1910","C[As](=O)(C)O"
"1945","OCC(O)C(O)C(O)C(O)C(=O)O"
"2012","CCCCCCCCCCCC[n+]1ccc(CCCCCCCCC)cc1"
"2013","OC(=O)CCCCCCCCC=C"
"2039","Oc1cccc2cccnc12"
"2053","OC(c1ccc(cc1)c2ccccc2)(c3ccc(cc3)c4ccccc4)c5ccc(cc5)c6ccccc6"
"2061","O=C\C=C\c1occc1"
"2186","CC(C)c1cc(c(C)cc1O)C2(OC(=O)c3ccccc23)c4cc(C(C)C)c(O)cc4C"
"2384","O=C1\C(=C\c2ccccc2)\CCC/C/1=C\c3ccccc3"
"2604","CCCC[Sn](Cl)(Cl)CCCC"
"2626","CCCOC(=O)c1cc(O)c(O)c(O)c1"
"2724","Cc1ccc(cc1)S(=O)(=O)c2ccccc2"
"2755","C[n+]1c2cc(N)ccc2cc3ccc(N)cc13"
"2785","COc1cc(c2ncccc2c1O)[N+](=O)[O-]"
"2805","Cc1cc(O)c(cc1O)c2cc(O)c(C)cc2O"
"2829","CC1=C(O)C(=O)C=CO1"
"3039","[Na+].OC(=O)Cc1ccccc1"
"3053","CC(C)[C@H]1NC(=O)[C@@H](NC(=O)C2=C(N)C(=O)C(=C3Oc4c(C)ccc(C(=O)N[C@H]5[C@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]6CCCN6C(=O)[C@H](NC5=O)C(C)C)c4N=C23)C)[C@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]7CCCN7C1=O"
"3055","COc1ccc(C[C@H](N)C(=O)NC2C(CO)OC(C2O)n3cnc4c(ncnc34)N(C)C)cc1"
"3060","[K+].O[As]=O"
"3061","CCc1nc(N)nc(N)c1c2ccc(Cl)cc2"
"3062","CCc1nc(N)nc(N)c1c2ccc(Cl)c(Cl)c2"
"3073","NC1=NC(=O)c2nc(CNc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2N1"
"3074","CC1(C)N=C(N)N=C(N)N1c2ccc(Cl)cc2"
"3077","CC1(C)N=C(N)N=C(N)N1c2ccc(Cl)c(Cl)c2"
"3080","CC1(C)N=C(N)N=C(N)N1c2cccc(Cl)c2"
"3081","CCCCCCC1N=C(N)N=C(N)N1c2ccc(Cl)cc2"
"3082","CC1(C)N=C(N)N=C(N)N1c2cccc(Br)c2"
"3083","CCCCCCC1N=C(N)N=C(N)N1c2cccc(Cl)c2"
"3088","OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl"
"3090","CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C"
"3091","[Cl-].[Br-].CC[N+](C)(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C"
"3093","CCN(CC)c1ccc2C=C3C=CC(=[N+](CC)CC)C=C3Oc2c1.[ClH-][Fe+3]([ClH-])([ClH-])[ClH-]"
"3094","CN(C)N=Nc1ccccc1"
"3262","Oc1cc(N2CC2)c(O)cc1N3CC3"
"3265","Clc1ccc(\C=C\c2ccc3ccccc3n2)cc1"
