NSC,MECHANISM
762419,Other
719239,Other
777573,Other
774651,Other
765776,Other
756662,Other
649890,Other
772255,Other
772254,Other
771644,Other
763564,Other
780965,Other
773261,Other
791648,Other
789041,Other
788900,Other
775637,Other
783294,Other
809973,Other
663249,Other
759096,Other
765436,Other
782154,Acetalax
792955,Other
782125,Other
760444,Other
772290,Other
772291,Other
767745,Other
783415,Other
758484,Other
756654,Other
754357,Other
763525,Other
754362,Other
757438,Other
758248,Other
781016,Other
768539,Other
812928,Other
772564,Other
811953,Other
789044,Other
787025,Other
787026,Other
697979,Other
4375,Other
767601,Other
776790,Other
789042,Other
763832,Other
812172,Other
799908,Other
783015,Other
771531,Other
809100,Other
779404,Other
798304,Other
781009,Other
781515,Other
804520,Other
800893,Other
763527,Other
62343,Other
764582,Other
779407,Other
777194,Other
789099,Other
760442,Other
761192,Other
734325,Other
757363,Other
19987,Other
755892,Other
614826,Other
59687,Acetalax
117186,Acetalax
665970,Other
92339,Other
170984,Other
759178,Other
677083,Other
778746,Other
754349,Other
754344,Other
751297,Other
780205,Other
782164,Other
773394,Other
787326,Other
786959,Other
814025,Other
787047,Other
793149,Other
755809,Other
758486,Other
761386,Other
761385,Other
767123,Other
764608,Other
764764,Other
75520,Other
785004,Other
756646,Other
777639,Other
774901,Other
755761,Other
784591,Other
780203,Other
773260,Other
794443,Other
772595,Other
1,Other
100045,Other
100046,Other
100058,Other
100071,Other
10010,Other
10018,Other
100279,Other
100290,Other
10036,Other
10037,Other
100434,Other
100445,Other
100723,Other
100737,Other
100777,Other
100844,Other
100856,Other
43567,Other
1010,Other
101003,Other
101088,Other
1011,Other
1012,Other
1013,Other
101319,Other
1014,Other
101492,Other
101643,Other
102004,Other
102049,Other
102051,Other
102057,Other
102064,Other
102067,Other
102068,Other
102225,Other
102378,Other
1026,Other
102622,Other
45029,Other
1027,Other
102742,Other
102809,Other
102810,Other
102811,Other
102813,Other
102814,Other
102815,Other
45384,Other
102817,Other
102866,Other
103005,Other
103073,Other
103231,Other
103336,Other
103508,Other
103517,Other
103704,Other
103752,Other
103755,Other
103779,Other
103832,Other
103870,Other
104129,Other
104133,Other
10438,Other
10460,Other
10466,Other
104795,Other
46598,Other
104801,Other
10483,Other
10492,Other
104942,Other
104943,Other
104960,Other
4698,Other
105023,Other
4722,Other
105131,Other
47384,Other
10517,Other
10520,Other
10526,Other
105307,Other
10534,Other
105348,Other
10535,Other
105444,Other
105509,Other
105546,Other
105550,Other
105808,Other
105827,Other
10587,Other
105900,Other
10594,Other
106139,Other
106193,Other
106246,Other
1063,Other
106360,Other
106399,Other
106408,Other
10641,Other
106442,Other
106445,Other
106461,Other
106486,Other
106531,Other
106553,Other
106554,Other
106557,Other
10660,Other
106640,Other
106648,Other
10667,Other
106677,Other
106723,Other
106859,Other
106907,Other
106909,Other
106969,Other
106995,Other
107043,Other
107067,Other
49565,Other
107129,Other
10721,Other
107237,Other
49733,Other
107413,Other
107432,Other
107512,Other
107529,Other
107658,Other
107660,Other
107680,Other
107818,Other
108018,Other
108165,Other
108225,Other
10848,Other
108608,Other
109072,Other
109084,Other
109128,Other
109131,Other
109154,Other
109155,Other
109156,Other
109188,Other
50827,Other
109248,Other
109254,Other
109292,Other
109351,Other
109440,Other
109451,Other
109509,Other
109555,Other
109593,Other
51148,Other
109825,Other
109834,Other
109836,Other
109838,Other
51524,Other
110101,Other
110275,Other
110363,Other
110383,Other
110407,Other
11051,Other
110602,Other
110609,Other
110630,Other
110800,Other
111041,Other
111062,Other
111118,Other
111119,Other
111135,Other
111180,Other
52245,Other
111556,Other
111580,Other
111581,Other
111650,Other
111654,Other
111702,Other
112125,Other
112147,Other
112152,Other
11216,Other
112166,Other
112167,Other
112200,Other
11225,Other
112257,Other
11232,Other
11235,Other
11240,Other
11241,Other
112535,Other
112751,Other
112758,Other
112796,Other
