0	BR:BT-549
1	BR:HS-578T
2	BR:MCF7
3	BR:MDA-MB-231
4	BR:T-47D
5	CNS:SF-268
6	CNS:SF-295
7	CNS:SF-539
8	CNS:SNB-19
9	CNS:SNB-75
10	CNS:U251
11	CO:COLO-205
12	CO:HCC-2998
13	CO:HCT-116
14	CO:HCT-15
15	CO:HT29
16	CO:KM12
17	CO:SW-620
18	LC:A549/ATCC
19	LC:EKVX
20	LC:HOP-62
21	LC:HOP-92
22	LC:NCI-H226
23	LC:NCI-H23
24	LC:NCI-H322M
25	LC:NCI-H460
26	LC:NCI-H522
27	LE:CCRF-CEM
28	LE:HL-60(TB)
29	LE:K-562
30	LE:MOLT-4
31	LE:RPMI-8226
32	LE:SR
33	ME:LOX-IMVI
34	ME:M14
35	ME:MALME-3M
36	ME:MDA-MB-435
37	ME:MDA-N
38	ME:SK-MEL-2
39	ME:SK-MEL-28
40	ME:SK-MEL-5
41	ME:UACC-257
42	ME:UACC-62
43	OV:IGROV1
44	OV:NCI/ADR-RES
45	OV:OVCAR-3
46	OV:OVCAR-4
47	OV:OVCAR-5
48	OV:OVCAR-8
49	OV:SK-OV-3
50	PR:DU-145
51	PR:PC-3
52	RE:786-0
53	RE:A498
54	RE:ACHN
55	RE:CAKI-1
56	RE:RXF-393
57	RE:SN12C
58	RE:TK-10
59	RE:UO-31
