NSC,CID,SMILES
1,11122,CC1=CC(=O)C=CC1=O
17,219123,CCCCCCCCCCCCCCCC1=C(C=CC(=C1)O)N
89,92844,CN(C)CCC(=O)C1=CC=CC=C1.Cl
185,6197,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C
758187,6197,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C
295,4775,C1=CC=C(C=C1)CCCC(=O)O
353,24180741,CCN(CC)CCCNC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl
384,54599265,CCCCCN(CCCCC)CCCNC1=C2CCCCC2=NC3=C1C=C(C=C3)Cl.OP(=O)(O)O
596,219376,CC1=C(C(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Br)[N+](=O)[O-]
629,11254,C1C(O1)C2CO2
721,690109,C1=CC=C2C(=C1)C(=C(N2)O)N=NC(=S)N
739,2154,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N
757427,2154,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N
740,126941,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
742,6331826,C(C(C(=O)O)N)OC(=O)C=[N+]=N
749,135403646,C12=NNN=C1N=C(NC2=O)N
752,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N
757348,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N
755,667490,C1=NC2=C(N1)C(=S)N=CN2
759614,667490,C1=NC2=C(N1)C(=S)N=CN2
757,6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
756702,6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
762,5935,CN(CCCl)CCCl.Cl
798,5354119,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=N2
830,736782,C1=CN=CC=C1C=CC(=O)O
885,219490,CN(C)C1=C(C=C(C=C1)C(=O)C2=CC(=C(C=C2)N(C)C)N)N
