"","NSC","NAME","FDA_STATUS","MOA","PUBCHEM_ID","SMILES","TOTAL_EXPS","TOTAL_EXPS_AFTER_QC"
"1",1,"tolylquinone",NA,NA,NA,"CC1=CC(=O)C=CC1=O",3,2
"17",17,"4-AMINO-3-PENTADECYLPHENOL","","",219123,"CCCCCCCCCCCCCCCc1cc(O)ccc1N",3,3
"89",89,"(dimethylamino)propiophenone hydrochloride",NA,NA,NA,"CN(C)CCC(=O)c1ccccc1",3,2
"185",185,"Cactinomycin",NA,NA,NA,"C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2",2,1
"295",295,"2-Phenylbutyric Acid","","",4775,"OC(=O)CCCc1ccccc1",2,1
"353",353,"CHLORO-9-[[3-(DIETHYLAMINO)PROPYL]AMINO]-2-METHOXYACRIDI...","","",24180741,"CCN(CC)CCCNc1c2ccc(Cl)cc2nc3ccc(OC)cc13",1,1
"384",384,"7-CHLORO-9-[[3-(DIPENTYLAMINO)PROPYL]AMINO]-1,2,3,4-TETR...","","",54599265,"CCCCCN(CCCCC)CCCNc1c2CCCCc2nc3ccc(Cl)cc13",1,1
"534",534,"ACETOXYPHENANTHRYLMERCURY","","",16685698,"[R][Hg]OC(=O)C.c1ccc2c(c1)ccc3ccccc23",2,2
"596",596,"3-BROMO-2,4,6-TRINITROTOLUENE","","",219376,"Cc1c(cc(c(Br)c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]",1,1
"629",629,"Bioxiran","","",11254,"C1OC1C2CO2",1,1
"721",721,"isatin thiosemicarbazone","","",690109,"NC(=S)N\N=C\1/C(=O)Nc2ccccc12",2,1
"739",739,"AMINOPTERIN",NA,NA,NA,"Nc1nc(N)c2nc(CNc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2n1",2,2
"740",740,"METHOTREXATE","FDA approved","Df|DHFR",126941,"CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O",135,76
"742",742,"azaserin","","",460129,"NC(COC(=O)C=[N+]=[N-])C(=O)O",5,2
"749",749,"8-Azaguanine",NA,NA,NA,"NC1=NC(=O)c2[nH]nnc2N1",4,4
"752",752,"6-THIOGUANINE","FDA approved","Ds|IMPDH2|IMPDH",NA,"NC1=NC(=S)c2[nH]cnc2N1",130,113
"755",755,"6-MERCAPTOPURINE","FDA approved","Ds|PPAT",NA,"S=C1N=CNc2nc[nH]c12",127,97
"757",757,"Colchicine","","TUBB",NA,"COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C",14,7
"762",762,"Nitrogen mustard","FDA approved","A7|AlkAg",NA,"CN(CCCl)CCCl",54,48
"798",798,"3-PHENYL-1-(2-PYRIDYL)-2-PROPEN-1-ONE",NA,NA,NA,"O=C(\C=C\c1ccccc1)c2ccccn2",1,1
"830",830,"4-Pyridineacrylic acid","","",736782,"OC(=O)\C=C\c1ccncc1",1,1
"885",885,"3,3'-DIAMINO-4,4'-BIS(DIMETHYLAMINO)BENZOPHENONE",NA,NA,NA,"CN(C)c1ccc(cc1N)C(=O)c2ccc(N(C)C)c(N)c2",3,2
"1010",1010,"7-[.ALPHA.-(P-NITROANILINO)BENZYL]-8-QUINOLINOL","","",219563,"Oc1c(ccc2cccnc12)C(Nc3ccc(cc3)[N+](=O)[O-])c4ccccc4",2,1
"1011",1011,"P-[[.ALPHA.-(8-HYDROXY-7-QUINOLYL)BENZYL]AMINO]BENZOIC ACID","","",219564,"OC(=O)c1ccc(NC(c2ccccc2)c3ccc4cccnc4c3O)cc1",2,2
"1012",1012,"wln: t66 bnj iyr&mr bvq& jq","","",95307,"OC(=O)c1ccccc1NC(c2ccccc2)c3ccc4cccnc4c3O",2,1
"1013",1013,"7-(.ALPHA.-ANILINO-P-NITROBENZYL)-8-QUINOLINOL","","",219565,"Oc1c(ccc2cccnc12)C(Nc3ccccc3)c4ccc(cc4)[N+](=O)[O-]",2,2
"1014",1014,"7-[.ALPHA.-[(4-METHYL-2-PYRIDYL)AMINO]BENZYL]-8-QUINOLINOL","","",219566,"Cc1ccnc(NC(c2ccccc2)c3ccc4cccnc4c3O)c1",1,1
"1026",1026,"acpc","","",2901,"NC1(CCCC1)C(=O)O",5,2
"1027",1027,"1,1,3-TRIBROMO-3-METHYL-2-BUTANONE","","",219573,"CC(C)(Br)C(=O)C(Br)Br",3,2
"1063",1063,"6-CHLORO-2-METHOXY-9-[(5-PIPERIDINOPENTYL)AMINO]ACRIDINE","","",219600,"COc1ccc2nc3cc(Cl)ccc3c(NCCCCCN4CCCCC4)c2c1",1,1
"1199",1199,"2-(ISOBORNYLOXY)-1,1-DIMETHYLETHYLAMINE","","",219648,"CC(C)(N)CO[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C",1,1
"1338",1338,"N-DECYL-2-IODOACETAMIDE","","",219690,"CCCCCCCCCCNC(=O)CI",2,2
"1390",1390,"Allopurinol","FDA approved","AM|XDH",NA,"O=C1NC=Nc2[nH]ncc12",4,2
"1393",1393,"Pyrazoloadenine","","",75420,"Nc1ncnc2[nH]ncc12",2,2
"1433",1433,"4-(BUTYLAMINO)-1-PHENYL-1H-PYRAZOLO[3,4-D]PYRIMIDINE","","",219760,"CCCCNc1ncnc2c1cnn2c3ccccc3",2,2
"1460",1460,"tryptazan","","",95318,"NC(Cc1n[nH]c2ccccc12)C(=O)O",1,1
"1482",1482,"2-(2-METHYL-2-NITROPROPOXY)BORNANE",NA,NA,NA,"CC(C)(CO[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C)[N+](=O)[O-]",1,1
"1507",1507,"2-CHLORO-3-PHENOXY-1,4-NAPHTHOQUINONE","","",219799,"ClC1=C(Oc2ccccc2)C(=O)c3ccccc3C1=O",2,1
"1760",1760,"3-PHENANTHRENEPROPIONIC ACID, HYDRAZIDE","","",219939,"NNC(=O)CCc1ccc2ccc3ccccc3c2c1",1,1
"1771",1771,"Thiram",NA,NA,NA,"CN(C)C(=S)SSC(=S)N(C)C",2,2
"1797",1797,"o-Aminoazotoluene",NA,NA,NA,"Cc1ccccc1N=Nc2ccc(N)c(C)c2",1,1
"1895",1895,"GUANAZOLE","","A7",15078,"Nc1n[nH]c(N)n1",10,2
"1906",1906,"pmp (van)",NA,NA,NA,"SC(=S)N1CCCCC1",4,2
"1910",1910,"Alkarsodyl",NA,NA,NA,"C[As](=O)(C)O",2,1
"1945",1945,"GLUCONIC ACID, BARIUM SALT","","",5351603,"OCC(O)C(O)C(O)C(O)C(=O)O",1,1
"2012",2012,"1-DODECYL-4-NONYLPYRIDINIUM CHLORIDE","","",24180869,"CCCCCCCCCCCC[n+]1ccc(CCCCCCCCC)cc1",1,1
"2013",2013,"declid",NA,NA,NA,"OC(=O)CCCCCCCCC=C",5,2
"2039",2039,"oxin",NA,NA,NA,"Oc1cccc2cccnc12",1,1
"2053",2053,"TRIS(4-BIPHENYLYL)METHANOL","","",219999,"OC(c1ccc(cc1)c2ccccc2)(c3ccc(cc3)c4ccccc4)c5ccc(cc5)c6ccccc6",1,1
"2061",2061,"3-(2-furyl)acrolein",NA,NA,NA,"O=C\C=C\c1occc1",1,1
"2186",2186,"thymophthalein","","",31316,"CC(C)c1cc(c(C)cc1O)C2(OC(=O)c3ccccc23)c4cc(C(C)C)c(O)cc4C",2,1
"2384",2384,"2,6-dibenzylidenecyclohexanone",NA,NA,NA,"O=C1\C(=C\c2ccccc2)\CCC/C/1=C\c3ccccc3",4,2
"2604",2604,"D.b.t.c.","","",12688,"CCCC[Sn](Cl)(Cl)CCCC",2,1
"2626",2626,"Propyl Gallate","","",4947,"CCCOC(=O)c1cc(O)c(O)c(O)c1",1,1
"2724",2724,"phenyl p-tolyl sulfone",NA,NA,NA,"Cc1ccc(cc1)S(=O)(=O)c2ccccc2",1,1
"2755",2755,"avlon",NA,NA,NA,"C[n+]1c2cc(N)ccc2cc3ccc(N)cc13",2,2
"2785",2785,"QAICTYKDANKDKI-UHFFFAOYSA-N","","",135399288,"COc1cc(c2ncccc2c1O)[N+](=O)[O-]",1,1
"2805",2805,"2,2',5,5'-Tetrahydroxy-4,4'-dimethylbiphenyl","","",220284,"Cc1cc(O)c(cc1O)c2cc(O)c(C)cc2O",2,2
"2829",2829,"vetol",NA,NA,NA,"CC1=C(O)C(=O)C=CO1",1,1
"3039",3039,"SODIUM PHENYLACETATE",NA,NA,NA,"[Na+].OC(=O)Cc1ccccc1",1,1
"3053",3053,"Actinomycin D","FDA approved","Db",NA,"CC(C)[C@H]1NC(=O)[C@@H](NC(=O)C2=C(N)C(=O)C(=C3Oc4c(C)ccc(C(=O)N[C@H]5[C@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]6CCCN6C(=O)[C@H](NC5=O)C(C)C)c4N=C23)C)[C@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]7CCCN7C1=O",132,92
"3055",3055,"puromycin",NA,NA,NA,"COc1ccc(C[C@H](N)C(=O)NC2C(CO)OC(C2O)n3cnc4c(ncnc34)N(C)C)cc1",1,1
"3060",3060,"Potassium arsenite",NA,NA,NA,"[K+].O[As]=O",2,1
"3061",3061,"malacid",NA,NA,NA,"CCc1nc(N)nc(N)c1c2ccc(Cl)cc2",2,2
"3062",3062,"Etoprine","","",29142,"CCc1nc(N)nc(N)c1c2ccc(Cl)c(Cl)c2",1,1
"3073",3073,"facid",NA,NA,NA,"NC1=NC(=O)c2nc(CNc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2N1",1,1
"3074",3074,"Chlorazin",NA,NA,NA,"CC1(C)N=C(N)N=C(N)N1c2ccc(Cl)cc2",1,1
"3077",3077,"D 54",NA,NA,NA,"CC1(C)N=C(N)N=C(N)N1c2ccc(Cl)c(Cl)c2",2,2
"3080",3080,"d 69",NA,NA,NA,"CC1(C)N=C(N)N=C(N)N1c2cccc(Cl)c2",1,1
"3081",3081,"",NA,NA,NA,"CCCCCCC1N=C(N)N=C(N)N1c2ccc(Cl)cc2",1,1
"3082",3082,"x 49",NA,NA,NA,"CC1(C)N=C(N)N=C(N)N1c2cccc(Br)c2",2,2
"3083",3083,"1-(3-Chlorophenyl)-2-hexyl-2H-1,3,5-triazine-4,6-diamine;hydrochloride","","",24180956,"CCCCCCC1N=C(N)N=C(N)N1c2cccc(Cl)c2",2,2
"3088",3088,"Chlorambucil","FDA approved","A7|AlkAg",NA,"OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl",130,102
"3090",3090,"badil",NA,NA,NA,"CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C",1,1
"3091",3091,"Methyl green",NA,NA,NA,"[Cl-].[Br-].CC[N+](C)(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C",1,1
"3093",3093,"crude pyronine b",NA,NA,NA,"CCN(CC)c1ccc2C=C3C=CC(=[N+](CC)CC)C=C3Oc2c1.[ClH-][Fe+3]([ClH-])([ClH-])[ClH-]",1,1
"3094",3094,"PDMT","","",23654,"CN(C)N=Nc1ccccc1",1,1
"3262",3262,"2,5-Bis(ethylamino)hydroquinone","","",94797,"Oc1cc(N2CC2)c(O)cc1N3CC3",2,2
"3265",3265,"",NA,NA,NA,"Clc1ccc(\C=C\c2ccc3ccccc3n2)cc1",2,2
"3284",3284,"wln: t6nj c- bt5ktj a1 a2- at5ktj a1 b- ct6nj &q 2 &i 2",NA,NA,NA,"C[N+]1(CC[N+]2(C)CCCC2c3cccnc3)CCCC1c4cccnc4",1,1
"3298",3298,"Phenol, 2-methoxy-4-(2-nitropropenyl)-",NA,NA,NA,"COc1cc(\C=C(\C)/[N+](=O)[O-])ccc1O",1,1
"3424",3424,"quinacrine mustard",NA,NA,NA,"COc1ccc2nc3cc(Cl)ccc3c(NC(C)CCCN(CCCl)CCCl)c2c1",2,2
"3531",3531,"clioquinol",NA,NA,NA,"Oc1c(I)cc(Cl)c2cccnc12",1,1
