,HCC44_LUNG,OACP4C_OESOPHAGUS
ACER2,-10.141358999999998,7.6539734
PSENEN,-3.2409233000000004,3.8071539999999997
KIF20B,-3.802192,4.295472999999999
CPA3,-2.49488,1.4665119999999998
TGFB2,-26.302523,32.62429339000001
TBXA2R,-1.9807050000000002,4.360577
MMP25,-0.06067000000000017,2.3742389999999998
PPIF,-7.89165,5.655156
BRPF3,-1.710512,1.0013
TM7SF2,-0.50932,0.883392
CYP11B2,-12.790193200000001,2.700709
NOTCH3,-1.65626,6.129588000000001
ABL2,-7.390108000000002,8.454916999999998
GCKR,-3.3337000000000003,5.251928999999999
SLC6A3,-6.853055600000001,5.348181
FUT5,-1.7854100000000002,2.2808775
CD276,-5.45646,-1.1825990000000002
CBX7,-1.24652,0.44881
CACNA1E,-2.396703,0.13804000000000005
ARSG,-0.77414,0.18219000000000002
POLH,-0.6378640000000002,1.012208
PNMT,-1.75315,0.8534290000000001
F12,-2.743844,6.11561
CDK3,-2.1003299999999996,1.1006599999999997
NTRK2,-8.566638999999999,13.661243459999998
CAMK2G,-0.28059200000000006,6.51926
TTBK1,-4.207438,5.692239999999999
IL5RA,-0.49498,-0.61081
IL2RB,-0.18480000000000002,0.433601
KCNQ1,-17.581389,2.4684580000000005
FAP,-5.358372,7.5459704599999995
CD5,-2.2097499999999997,-0.33003000000000016
F7,-6.197363000000001,6.766928
PSMB7,-13.296159999999999,10.4206
AMDHD2,-0.4715200000000001,2.5092
KHK,-2.29416,0.69039
PDCD1,-2.943011,2.8674399999999998
EEF1A1,-0.8875800000000003,4.141339
CRAT,-2.48948,0.874514
SMS,-3.8517,1.7364540000000002
PCMT1,-0.42731,1.25845
NEK8,-1.37694,-0.8545100000000001
SLCO1B3,-0.29015,0.87085
RPS6KA2,-2.1684,1.9286940000000001
DPP9,-0.88401,-0.25299000000000005
PI4K2A,-1.065952,0.7307389999999999
PHGDH,-4.511252999999999,6.250412999999998
ITGB7,-2.22146,1.6943024599999998
RNASEH1,0.0,0.0
EGF,-14.191285480000001,18.818015000000003
PDK2,-3.1022500000000006,6.846614000000001
QPCT,-0.22069000000000027,1.4845140000000001
BAK1,-6.994489000000001,26.719173
MTAP,-1.2052200000000002,6.647919999999999
PADI4,-3.61842,2.2185009300000003
POLD1,-1.79961,0.771166
NMUR1,-6.8905710000000004,-0.38890599999999975
KDM5B,-7.016757480000001,14.901734000000001
NOD2,-12.410794,4.624513999999999
CYSLTR1,-5.21292,0.76749946
SGK2,-0.85663,1.1393300000000002
KIF5C,-4.816719,4.73821246
EPHA8,-6.299841,2.20445646
KCNK2,-2.8319739999999998,8.3341027
UBE2B,-4.675916,5.318047460000001
NT5C,-0.11274900000000004,2.2130900000000002
TEAD1,-1.6679000000000002,3.2408400000000004
DAPK3,-4.721618,11.194103
CYP4A11,-6.326020000000001,2.4856019999999996
PTPN1,-5.356092000000001,11.4294014
NLRP3,-6.806038999999999,9.595028999999998
STK3,-8.823761480000002,9.916685000000001
IGFBP6,-1.0114,1.7810500000000002
EZH1,-0.9428900000000002,4.120939
CASP4,-1.7062499999999998,1.82921
CALM1,-15.366260600000004,7.3041204
CXCL2,0.7039599999999997,4.62923846
PRF1,-4.14944,3.4786599999999996
CCNK,-3.1496614000000003,7.6422870000000005
CASP5,-0.7071399999999999,0.83053
NOX3,0.22150999999999987,1.515889
PLG,-6.987616000000001,5.467887
CDK10,-3.310928,2.7607150000000003
F2RL2,-1.26394,0.40839000000000003
NOTCH4,-5.064421,8.765908
PPIA,-0.9272200000000006,5.03922546
STK17A,-2.29087,1.029494
NEK4,-1.324188,3.110296
RSL1D1,-1.457344,1.99848
STK35,0.0,0.0
PLA2G2D,-5.24835,1.471054
NR4A2,-9.877619,6.7891464599999995
MADCAM1,-2.6120500000000004,-1.93058054
