,HCC44_LUNG,OACP4C_OESOPHAGUS
GO:0000038,-0.47332,-0.47332
GO:0000070,-0.6096,-0.6087
GO:0000082,1.1347,0.015286
GO:0000083,-0.64739,-0.32919
GO:0000086,0.34558,0.85872
GO:0000096,-0.4517,-0.4517
GO:0000122,0.088358,0.50026
GO:0000165,0.5509,0.66417
GO:0000186,-0.24956,-0.1592
GO:0000187,-0.047047,0.19842
GO:0000209,0.50729,0.64564
GO:0000226,-0.085405,-0.50891
GO:0000281,0.53316,0.69021
GO:0000302,-0.44477,-0.29654
GO:0000398,0.42205,0.47171
GO:0000413,-0.50517,-0.50517
GO:0000723,0.85174,0.91535
GO:0000724,0.4949,0.4949
GO:0000904,0.046167,0.010327
GO:0000956,0.45924,0.45924
GO:0001101,0.42822,0.17079
GO:0001501,0.57161,0.025901
GO:0001503,-0.55472,0.22095
GO:0001504,0.44249,0.44249
GO:0001505,-0.53978,-0.54783
GO:0001525,0.98633,0.47988
GO:0001541,-0.032917,-0.032917
GO:0001558,0.28433,0.73435
GO:0001569,-0.60159,-0.60145
GO:0001570,0.78439,0.52861
GO:0001649,0.42388,0.44059
GO:0001656,0.57532,0.1271
GO:0001657,-0.46731,-0.63726
GO:0001658,-0.5209,-0.5209
GO:0001659,0.50847,-0.07441
GO:0001662,-0.50664,-0.50664
GO:0001666,-0.53252,-0.42628
GO:0001676,0.28877,0.45892
GO:0001701,-0.4633,0.088932
GO:0001704,-0.015469,0.04982
GO:0001708,0.37911,0.3006
GO:0001754,-0.42908,-0.42908
GO:0001755,0.50414,0.062115
GO:0001756,0.49599,1.0322
GO:0001764,-0.36453,-0.1613
GO:0001774,-0.55487,-0.55487
GO:0001782,-0.3892,-0.3892
GO:0001816,-0.3784,-0.84025
GO:0001817,0.4328,-0.60136
GO:0001818,1.03,-0.31347
GO:0001819,-0.05632,0.21625
GO:0001822,-0.32658,-0.5605
GO:0001823,0.5251,0.54115
GO:0001824,-0.50628,-0.3842
GO:0001841,-0.37313,-0.3377
GO:0001843,-0.40558,-0.33651
GO:0001889,-0.29201,-0.42442
GO:0001890,-0.531,-0.34945
GO:0001894,-0.27332,-1.8562
GO:0001895,0.72435,0.72435
GO:0001909,-0.55357,-0.55357
GO:0001912,0.5706,0.4463
GO:0001933,-0.26501,-0.44689
GO:0001935,0.45737,0.45737
GO:0001937,0.48703,0.22754
GO:0001938,0.51241,0.61315
GO:0001942,0.49834,0.97964
GO:0001944,0.48579,0.31395
GO:0001945,-0.56214,-0.56214
GO:0001947,0.53389,0.45232
GO:0001953,-0.50113,-0.41981
GO:0001958,0.46994,0.46994
GO:0001959,-0.44825,-0.48104
GO:0001960,-0.30741,0.40353
GO:0001961,0.62986,0.62986
GO:0001974,-0.44257,-0.4889
GO:0001975,-0.15861,-1.0217
GO:0002003,0.70594,1.0497
GO:0002011,0.47423,0.40612
GO:0002021,0.52252,0.77229
GO:0002026,-0.55902,-0.48184
GO:0002029,-0.66373,-0.66373
GO:0002040,0.50943,0.50943
GO:0002053,-0.52727,-0.52727
GO:0002062,0.55851,0.55851
GO:0002064,0.58501,0.58501
GO:0002066,-0.42125,-0.42125
GO:0002067,-0.50369,-0.50369
GO:0002088,0.41207,0.41726
GO:0002092,-0.63265,-0.63265
GO:0002223,0.58749,0.70545
GO:0002224,-0.44195,-0.30109
GO:0002244,0.56545,0.55128
GO:0002250,0.95489,0.85941
GO:0002252,0.17121,-0.38376
GO:0002274,0.85713,0.020609
GO:0002287,0.45177,0.45177
GO:0002292,-0.48188,-0.48188
GO:0002312,0.58469,0.67308
GO:0002366,-0.16411,-0.25865
GO:0002367,0.65448,0.65448
GO:0002407,-0.52088,-0.78717
GO:0002429,-0.22576,-0.29228
GO:0002437,0.53672,0.53672
GO:0002443,0.6126,-0.03883
GO:0002456,0.53953,0.53953
GO:0002474,-0.4844,-0.40935
GO:0002479,-0.40274,-0.40274
GO:0002504,-0.45287,-0.45287
GO:0002521,-0.12492,-0.051568
GO:0002532,-0.49368,-0.49368
GO:0002548,0.48306,0.48306
GO:0002562,-0.85648,-1.0881
GO:0002573,0.069996,-0.20191
GO:0002576,-0.66004,0.71882
GO:0002675,0.45844,0.44635
GO:0002683,-0.36076,0.10951
GO:0002686,0.46179,0.46179
GO:0002690,-0.34723,-0.54502
GO:0002691,-0.46336,-0.55123
GO:0002695,0.15184,-0.12929
GO:0002697,0.61786,0.84663
GO:0002699,0.6542,0.34946
GO:0002702,-0.59406,-0.095403
GO:0002704,0.87314,0.75891
GO:0002712,0.26621,-0.95084
GO:0002719,0.30913,-0.4472
GO:0002726,0.47869,0.47869
GO:0002739,0.4594,0.4594
GO:0002755,-0.54716,-0.7282
GO:0002757,0.37412,0.3685
GO:0002758,0.51251,0.71024
GO:0002761,0.58218,-0.58094
GO:0002762,-0.54244,-0.54244
GO:0002792,-0.44281,-0.32183
GO:0002823,0.43388,0.394
GO:0002825,0.43857,0.43857
GO:0002830,-0.50885,-0.50885
GO:0002833,-0.41398,-1.0368
GO:0002861,0.48732,0.48732
GO:0002888,-0.16544,-0.30121
GO:0002889,-0.66881,-0.53745
GO:0002922,-0.45239,-0.45239
GO:0002931,0.28353,0.28353
GO:0003006,0.41119,0.14986
GO:0003007,0.016979,0.10477
GO:0003008,-0.44025,-0.56056
GO:0003009,-0.46667,-0.47083
GO:0003014,-0.61423,-0.61423
GO:0003015,-0.41427,-0.27112
GO:0003044,-0.45846,-0.34375
GO:0003071,0.40676,0.40676
GO:0003091,-0.49008,-0.49008
GO:0003148,0.69465,1.366
GO:0003156,0.33857,0.38389
GO:0003158,-0.49463,-0.30693
GO:0003177,-0.4675,-0.32525
GO:0003180,0.41022,0.97556
GO:0003181,-0.50217,-0.0926
GO:0003203,0.44258,0.3002
GO:0003209,0.71269,1.4401
GO:0003279,0.31251,0.64367
GO:0003300,0.35645,0.35645
GO:0003401,-0.66769,-0.66769
GO:0003407,-0.67891,-0.67891
GO:0005975,-0.1344,-0.11828
GO:0005977,-0.49099,-0.44635
GO:0005979,0.75791,0.66651
GO:0005996,0.33009,0.66494
GO:0006006,0.46457,0.29099
GO:0006024,-0.67989,-0.67989
GO:0006027,-0.55779,-0.55779
GO:0006029,-0.44358,-0.44358
GO:0006040,0.75666,0.75666
GO:0006066,-0.8318,-0.89214
GO:0006068,-0.47512,-0.47512
GO:0006081,-0.40842,-0.40842
GO:0006091,-0.47306,-0.57635
GO:0006094,0.36691,0.36691
GO:0006109,0.36295,-0.65116
GO:0006119,0.4742,0.28642
GO:0006139,0.30431,0.19478
GO:0006144,0.48214,0.48214
GO:0006164,-0.42979,-0.42979
GO:0006206,-0.72453,-0.16161
GO:0006221,0.46361,0.43332
GO:0006259,0.60394,0.15455
GO:0006261,0.48956,0.48435
GO:0006281,0.36266,0.20712
GO:0006283,-0.50912,-0.92428
GO:0006284,0.2963,0.26449
GO:0006303,0.54866,0.54866
GO:0006306,0.53096,0.32285
GO:0006323,-0.63445,-0.63445
GO:0006325,-0.33567,-1.0117
GO:0006333,-0.5626,-0.5626
GO:0006334,-0.49619,-0.49619
GO:0006342,0.49049,0.49049
GO:0006349,0.62573,0.62573
GO:0006355,0.32328,0.30628
GO:0006357,0.72326,-0.031941
GO:0006366,-0.83411,-0.63295
GO:0006367,-0.5801,-0.60843
GO:0006396,-0.43837,-1.0079
GO:0006401,0.55864,0.55864
GO:0006413,-0.4162,-0.4162
GO:0006417,-0.30742,-0.47262
GO:0006418,-0.56926,-1.3848
GO:0006446,0.47946,0.47946
GO:0006457,0.47605,0.27404
GO:0006464,-0.22427,-0.20675
GO:0006468,-0.29155,-0.14621
GO:0006469,-0.49141,-0.2519
GO:0006471,-0.65288,-0.51334
GO:0006473,0.42704,0.42692
GO:0006475,0.49706,0.51983
GO:0006476,-0.34216,-0.33491
GO:0006482,-0.62603,-0.62603
GO:0006487,-0.5093,-0.41531
GO:0006497,0.36869,0.41839
GO:0006508,-0.47763,-0.75326
GO:0006509,-0.16761,0.46076
GO:0006511,0.71704,-0.49192
GO:0006518,0.44162,0.035867
GO:0006521,0.52972,0.52972
GO:0006536,0.72605,0.72605
GO:0006541,0.77904,0.35545
GO:0006575,-0.49315,-0.49315
GO:0006586,0.41517,0.41517
GO:0006595,-0.53227,-0.53227
GO:0006606,-0.48636,-0.5664
GO:0006625,0.51597,0.51597
GO:0006629,0.17965,0.24643
GO:0006631,-0.87786,-0.53768
GO:0006635,-0.48996,-0.48996
GO:0006643,-0.37955,0.0011425
GO:0006644,0.68255,-0.86522
GO:0006654,-0.50243,-0.50243
GO:0006656,0.59943,0.42583
GO:0006658,-0.5075,-0.5075
GO:0006661,0.49193,0.49193
GO:0006687,0.36688,1.2398
GO:0006691,-0.56209,-0.56209
GO:0006694,-1.6201,-0.33948
GO:0006695,-0.80618,-0.46178
GO:0006706,-0.8703,-0.54078
GO:0006721,-0.25938,-0.053117
GO:0006730,-0.65255,-0.65255
GO:0006732,-0.77605,-1.0736
GO:0006733,-0.37631,-0.37631
GO:0006734,-0.52097,-0.50506
GO:0006739,0.44219,0.44218
GO:0006749,-0.47125,-0.47125
GO:0006757,0.59564,0.44228
GO:0006760,0.53332,0.53332
GO:0006767,0.43959,0.52471
GO:0006783,0.62758,0.62758
GO:0006790,-0.36776,-0.31808
GO:0006796,0.042551,0.15114
GO:0006801,-0.41519,-0.41519
GO:0006805,-0.57765,-0.90658
GO:0006811,-0.02257,-0.38862
GO:0006812,-0.2531,-0.23614
GO:0006816,-0.7817,-0.65616
GO:0006826,-0.41523,-0.47657
GO:0006835,-0.70748,-0.70748
GO:0006836,0.099876,0.079369
GO:0006855,-0.48552,-0.48552
GO:0006869,0.56384,0.53635
GO:0006873,-0.27606,-0.73414
GO:0006874,0.41659,0.96367
GO:0006879,-0.65515,-0.87601
GO:0006885,0.52504,0.52504
GO:0006886,-0.69415,-0.80332
GO:0006888,-0.47008,-0.99054
GO:0006890,-0.48917,-0.48917
GO:0006897,-0.66767,-0.248
GO:0006898,-0.56979,-0.17266
GO:0006909,-0.45726,-0.17411
GO:0006915,0.3241,0.36208
GO:0006919,-0.46115,-0.20223
GO:0006928,-0.33302,0.014644
GO:0006935,0.49561,0.028992
GO:0006936,0.35831,0.35933
GO:0006937,0.13643,-0.27953
GO:0006939,-0.26878,-1.2174
GO:0006952,0.31059,-0.22778
GO:0006953,0.44142,0.44142
GO:0006954,0.16842,0.10521
GO:0006955,0.12847,-0.42772
GO:0006968,0.5567,0.5567
GO:0006972,0.3966,0.45748
GO:0006974,-0.51281,0.30447
GO:0006977,0.51854,0.18732
GO:0006979,0.18461,0.3299
GO:0006984,-0.59143,-0.59143
GO:0006986,-0.20181,-0.87359
GO:0006996,0.18371,-0.13141
GO:0006998,0.57654,0.57654
GO:0007005,0.52387,0.49147
GO:0007006,-0.6928,-0.17371
GO:0007009,1.1092,0.45387
GO:0007010,0.92999,0.092567
GO:0007015,-0.49398,-0.49398
GO:0007018,-0.5648,-0.72121
GO:0007030,0.42543,1.0539
GO:0007031,-0.54831,-0.54831
